ncppb_number	current_name	name_as_received	alternative_names	country	host	year_added	type_strain_of_species	pathotype_strain	notes	reference	ncppb_catalogue_url	source_page
NCPPB 481	Xanthomonas axonopodis pv. desmodii (Patel 1949) Vauterin et al. 1995	Xanthomonas desmodii Patel 1949	Xanthomonas campestris pv. desmodii (Patel 1949) Dye 1978	India	Desmodium diffusum	1957	No	Yes			https://ncppb.fera.co.uk/furtherinfo/481	2
NCPPB 485	Xanthomonas axonopodis pv. betlicola (Patel et al. 1951) Vauterin et al. 1995	Xanthomonas betlicola	Xanthomonas campestris pv. betlicola (Patel et al. 1951) Dye 1978	India	Piper betle	1957	No	No			https://ncppb.fera.co.uk/furtherinfo/485	2
NCPPB 488	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	X. ricinicola.	Xanthomonas campestris pv. ricini (Yoshi & T akimoto 1928) Dye 1978	India	Ricinus communis	1957	No	No	Yellow strain		https://ncppb.fera.co.uk/furtherinfo/488	2
NCPPB 490	Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov.		Xanthomonas campestris pv. mangiferaeindicae (Patel et al. 1948) Robbs, Ribeiro & Kimura 1974, Xanthomonas axonopodis pv. mangiferaeindicae (Patel et al. 1948) Ah-You et al. 2007	India	Mangifera indica (Mango)	1957	No	Yes	Partial gene (gyrB) sequence indicates this is Xanthomonas citri.		https://ncppb.fera.co.uk/furtherinfo/490	2
NCPPB 509	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (Doidge 1920) Dowson 1939	Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978	Zimbabwe	Solanum lycopersicum	1957	No	No			https://ncppb.fera.co.uk/furtherinfo/509	2
NCPPB 510	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans		Mauritius	Saccharum officinarum	1957	No	No			https://ncppb.fera.co.uk/furtherinfo/510	2
NCPPB 526	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans		St Lucia	Saccharum officinarum	1957	No	No			https://ncppb.fera.co.uk/furtherinfo/526	2
NCPPB 528	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939		UK	Brassica oleracea var. gemmifera	1957	Yes	Yes	Race 3 (Vicente et al. 2001)		https://ncppb.fera.co.uk/furtherinfo/528	2
NCPPB 529	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939		UK	Brassica oleracea var. capitata	1957	No	No	Race 1 (Vicente et al. 2001)		https://ncppb.fera.co.uk/furtherinfo/529	2
NCPPB 535	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas ricini (Yoshi & T akimoto 1928) Dowson 1939	Xanthomonas campestris pv. ricini (Yoshi & T akimoto 1928) Dye 1978	Sudan	Ricinus communis	1957	No	No	White strain		https://ncppb.fera.co.uk/furtherinfo/535	2
NCPPB 536	Xanthomonas axonopodis pv. khayae (Sabet 1959) Vauterin et al. 1995	Xanthomonas khayae Sabet 1959	Xanthomonas campestris pv. khayae (Sabet 1959) Dye 1978	Sudan	Khaya senegalensis (mahogany)	1958	No	Yes			https://ncppb.fera.co.uk/furtherinfo/536	2
NCPPB 554	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb. nov.	X. phaseoli var. sojense	Xanthomonas campestris pv. glycines (Nakano 1919) Dye 1978, Xanthomonas axonopodis pv. glycines (Nakano 1919) Vauterin et al. 1995	Sudan	Glycine max	1958	No	Yes			https://ncppb.fera.co.uk/furtherinfo/554	2
NCPPB 555	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.	X. vignicola Burkholder 1944	Xanthomonas campestris pv. vignicola (Burkholder 1944) Dye 1978, Xanthomonas axonopodis pv. vignicola (Burkholder 1944) Vauterin et al.1995	Sudan	Vigna unguiculata	1958	No	No			https://ncppb.fera.co.uk/furtherinfo/555	2
NCPPB 556	Xanthomonas axonopodis Starr & Garcés 1950	Xanthomonas phaseoli (Smith 1897) Dowson 1939	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995, Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Sudan	Dolichos lablab	1958	No	No	Partial gene sequence (gyrB) indicates that this is two bp different to NCPPB 554 X. citri pv. glycines		https://ncppb.fera.co.uk/furtherinfo/556	2
NCPPB 557	Xanthomonas axonopodis (Smith 1897) Vauterin et al.1995	Xanthomonas phaseoli (Smith 1897) Dowson 1939	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995, Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Sudan	Dolichos lablab	1958	No	No	Partial gene sequence (gyrB) indicates that this is two bp different to NCPPB 554 X. citri pv. glycines		https://ncppb.fera.co.uk/furtherinfo/557	2
NCPPB 570	Xanthomonas campestris pv. amaranthicola (Patel et al. 1952) Dye 1978			India	Amaranthus viridis	1958	No	Yes			https://ncppb.fera.co.uk/furtherinfo/570	2
NCPPB 571	Xanthomonas campestris pv. badrii (Patel et al.1950) Dye 1978			India	Xanthium strumarium	1958	No	Yes			https://ncppb.fera.co.uk/furtherinfo/571	2
NCPPB 573	Xanthomonas axonopodis pv. cajani (Kulkarni et al. 1950) Vauterin et al. 1995	Xanthomonas cajani	Xanthomonas campestris pv. cajani (Kulkarni et al. 1950) Dye 1978	India	Cajanus cajan	1958	No	Yes			https://ncppb.fera.co.uk/furtherinfo/573	2
NCPPB 575	Xanthomonas euvesicatoria pv. clerodendri (Patel et al. 1952) Harrison et al. 2023		Xanthomonas campestris pv. clerodendri (Patel et al. 1952) Dye 1978	India	Clerodendron sp	1958	No	Yes			https://ncppb.fera.co.uk/furtherinfo/575	2
NCPPB 577	Xanthomonas axonopodis pv. desmodiigangetici (Patel & Moniz 1948) Vauterin et al. 1995	Xanthomonas desmodiigangetici Patel & Moniz 1948	Xanthomonas camp. pv. desmodiigangetici ( Patel & Moniz 1948) Dye 1978	India	Desmodium gangeticum	1958	No	Yes	Whole genome sequencing (NCPPB July 2025) indicates this organism is likely to be a pathovar of X. euvesicatoria.		https://ncppb.fera.co.uk/furtherinfo/577	2
NCPPB 578	Xanthomonas euvesicatoria pv. erythrinae (Patel et al. 1952) Constantin et al. 2016 comb. nov.	Xanthomonas erythrinae	Xanthomonas campestris pv. erythrinae (Patel et al. 1952) Dye 1978, Xanthomonas axonopodis pv. erythrinae (Patel et al. 1952) Vauterin et al. 1995	India	Erythrina indica	1958	No	Yes			https://ncppb.fera.co.uk/furtherinfo/578	2
NCPPB 579	Xanthomonas euvesicatoria pv. lawsoniae (Patel et al. 1951) Harrison et al. 2023		Xanthomonas campestris pv. lawsoniae (Patel et al. 1951) Dye 1978	India	Lawsonia inermis	1958	No	Yes			https://ncppb.fera.co.uk/furtherinfo/579	2
NCPPB 581	Xanthomonas axonopodis pv. poinsettiicola (Patel et al. 1951) Vauterin et al. 1995	Xanthomonas poinsettiicola Patel et al. 1951	Xanthomonas campestris pv. poinsettiicola (Patel et al. 1951) Dye 1978	India	Euphorbia pulcherrima	1958	No	Yes	Whole genome sequencing (NCPPB July 2025) indicates this organism is likely to be a pathovar of X. euvesicatoria.		https://ncppb.fera.co.uk/furtherinfo/581	2
NCPPB 582	Xanthomonas citri pv. sesbaniae (Patel et al. 1952) Constantin et al. 2016 comb. nov.	Xanthomonas sesbaniae Patel et al. 1952	Xanthomonas campestris pv. sesbaniae (Patel et al. 1952) Dye 1978, Xanthomonas axonopodis pv. sesbaniae (Patel et al. 1952) Vauterin et al. 1995	Unknown	Sesbania aegyptiaca (Egyptian riverhemp)	1958	No	Yes		Bansal, Kanika; Kumar, Sanjeet; Patil, Prabhu B. (2022)Phylo-Taxonogenomics Supports Revision of Taxonomic Status of 20 Xanthomonas Pathovars to Xanthomonas citri.Phytopathology®112(6)1201-1207. DOI: 10.1094/PHYTO-08-21-0342-SC	https://ncppb.fera.co.uk/furtherinfo/582	2
NCPPB 583	Chryseobacterium sp. Vandamme et al. 1994	Xanthomonas stizolobiicola (illegit.)		India	Stizolobium deeringianum	1958	No	No		Dye, D.W. 1966. N.Z. Jl. Sci. 9: 843	https://ncppb.fera.co.uk/furtherinfo/583	2
NCPPB 584	Xanthomonas axonopodis pv. tamarindi (Patel et al. 1951) Vauterin et al. 1995	Xanthomonas tamarindi Patel et al. 1951	Xanthomonas campestris pv. tamarindi (Patel et al. 1951) Dye 1978	India	Tamarindus indica	1958	No	Yes	Whole genome sequencing (NCPPB July 2025) indicates this organism is likely to be a pathovar of X. euvesicatoria.		https://ncppb.fera.co.uk/furtherinfo/584	3
NCPPB 585	Xanthomonas citri pv. trichodesmae (Patel et al.1952) Harrison et al. 2023		Xanthomonas campestris pv. trichodesmae (Patel et al.1952) Dye 1978	India	Trichodesma zeylanicum	1958	No	Yes			https://ncppb.fera.co.uk/furtherinfo/585	3
NCPPB 586	Xanthomonas euvesicatoria pv. uppalii (Patel 1948) Harrison et al. 2023		Xanthomonas campestris pv. uppalii (Patel 1948) Dye 1978	India	Ipomoea muricata	1958	No	Yes			https://ncppb.fera.co.uk/furtherinfo/586	3
NCPPB 599	Xanthomonas hyacinthi (Wakker 1883) Vauterin et al. 1995	Xanthomonas hyacinthi	Xanthomonas campestris pv. hyacinthi (Wakker 1883) Dye 1978	Netherlands	Hyacinthus orientalis	1958	Yes	No			https://ncppb.fera.co.uk/furtherinfo/599	3
NCPPB 614	Xanthomonas citri pv. malvacearum (Smith 1901) Schaad et al. 2007	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007			1958	No	No	Race 1. The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.	Hayward, A.C. 1964. J. Gen. Microbiol. 35: 287; Hunter, R.E., Brinkerhoff, L.A., Bird, L.S. 1968. P	https://ncppb.fera.co.uk/furtherinfo/614	3
NCPPB 631	Xanthomonas euvesicatoria pv. sesami (Sabet & Dowson 1960) Constantin et al. 2016 comb. nov.		Xanthomonas campestris pv. sesami (Sabet & Dowson 1960) Dye 1978	Sudan	Sesamum indicum	1959	No	Yes			https://ncppb.fera.co.uk/furtherinfo/631	3
NCPPB 633	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007	Sudan	Gossypium sp	1959	No	Yes	The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.	Hayward, A.C. 1964. J. Gen. Microbiol. 35: 287; Hunter, R.E., Brinkerhoff, L.A., Bird, L.S. 1968. P	https://ncppb.fera.co.uk/furtherinfo/633	3
NCPPB 634	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007	Sudan	Gossypium sp.	1959	No	No	The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.	Hayward, A.C. 1964. J. Gen. Microbiol. 35: 287; Hunter, R.E., Brinkerhoff, L.A., Bird, L.S. 1968. P	https://ncppb.fera.co.uk/furtherinfo/634	3
NCPPB 637	Xanthomonas axonopodis pv. cyamopsidis (Patel et al.1953) Vauterin et al. 1995	X. cyamophagus	Xanthomonas campestris pv. cyamopsidis (Patel et al.1953) Dye 1978	India	Cyamopsis tetragonolobus	1959	No	Yes			https://ncppb.fera.co.uk/furtherinfo/637	3
NCPPB 638	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.	X. vignicola. Burkholder 1944	Xanthomonas campestris pv. vignicola (Burkholder 1944) Dye 1978, Xanthomonas axonopodis pv. vignicola (Burkholder 1944) Vauterin et al.1995	Zimbabwe	Vigna sinensis	1959	No	No			https://ncppb.fera.co.uk/furtherinfo/638	3
NCPPB 642	Xanthomonas hortorum pv. hederae (Arnaud 1920) Vauterin et al. 1995	Xanthomonas hederae	Xanthomonas campestris pv. hederae (Arnaud 1920) Dye 1978	Denmark	Hedera helix.	1959	No	No			https://ncppb.fera.co.uk/furtherinfo/642	3
NCPPB 645	Xanthomonas axonopodis pv. cassiae (Kulkarni et al. 1951) Vauterin et al. 1995	Xanthomonas cassiae	Xanthomonas campestris pv. cassiae (Kulkarni et al. 1951) Dye 1978	Sudan	Cassia acutifolia	1959	No	No			https://ncppb.fera.co.uk/furtherinfo/645	3
NCPPB 646	Xanthomonas axonopodis pv. khayae (Sabet 1959) Vauterin et al. 1995	Xanthomonas khayae Sabet 1959	Xanthomonas campestris pv. khayae (Sabet 1959) Dye 1978	Sudan	Khaya senegalensis (mahogany)	1959	No	No			https://ncppb.fera.co.uk/furtherinfo/646	3
NCPPB 647	Xanthomonas euvesicatoria pv. sesami (Sabet & Dowson 1960) Constantin et al. 2016 comb. nov.		Xanthomonas campestris pv. sesami (Sabet & Dowson 1960) Dye 1978	Sudan	Sesamum indicum	1959	No	No			https://ncppb.fera.co.uk/furtherinfo/647	3
NCPPB 648	Xanthomonas euvesicatoria pv. alfalfae (ex Riker et al. 1935) Constantin et al. 2016 comb. nov.	Xanthomonas alfalfae	Xanthomonas campestris pv. alfalfae (Riker et al. 1935) Dye 1978, Xanthomonas axonopodis pv. alfalfae (Riker et al. 1935) Vauterin et al. 1995, Xanthomonas alfalfae subsp. alfalfae (ex Riker et al. 1935) Schaad et al. 2007	Sudan	Medicago sativa	1959	No	No			https://ncppb.fera.co.uk/furtherinfo/648	3
NCPPB 670	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli (Smith 1897) Dowson 1939	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995, Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas fuscans subsp. fuscans Schaad et al. 2007	Uganda	Phaseolus vulgaris	1959	No	No	Produces brown pigment, gyrB 100% match to NCPPB 381		https://ncppb.fera.co.uk/furtherinfo/670	3
NCPPB 701	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (Doidge 1920) Dowson 1939	Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978	Zimbabwe	Solanum lycopersicum	1959	No	No			https://ncppb.fera.co.uk/furtherinfo/701	3
NCPPB 702	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1894) Dye 1978, Xanthomonas axonopodis pv. vasculorum (Cobb 1894) Vauterin et al. 1995, Xanthomonas vasicola pv. vasculorum (Cobb 1894) Vauterin et al. 1995 (Invalid name)	Zimbabwe	Saccharum officinarum	1959	No	No	Fatty acid Type C (Dookun, Stead & Autrey 2000)		https://ncppb.fera.co.uk/furtherinfo/702	3
NCPPB 761	Xanthomonas euvesicatoria pv. physalidicola (Goto & Okabe 1958) Constantin et al. 2016 comb. nov.	Xanthomonas physalidicola Goto & Okabe 1958	Xanthomonas campestris pv. physalidicola (Goto & Okabe 1958) Dye 1978, Xanthomonas axonopodis pv. physalidicola (Goto & Okabe 1958) Vauterin et al. 1995	Unknown	Physalis alkekengii L. (Bladder cherry / Chinese L	1960	No	Yes			https://ncppb.fera.co.uk/furtherinfo/761	3
NCPPB 762	Xanthomonas pisi (ex Goto & Okabe 1958) Vauterin et al. 1995	Xanthomonas pisi Goto & Okabe 1958	Xanthomonas campestris pv. pisi (Goto & Okabe 1958) Dye 1978	Japan (Shizuoka)	Pisum sativum L. (pea)	1960	Yes	No	Causes leaf spots	Shenavar, Omid; Rahimian, Heshmatolah; Barzegar, Ali (2023)Characterization of Xanthomonas hortorum isolates causing leaf spot on Primula vulgaris.Plant Pathology. DOI: 10.1111/ppa.13782	https://ncppb.fera.co.uk/furtherinfo/762	3
NCPPB 793	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas oryzae	Xanthomonas campestris pv. oryzae (Ishiyama 1922) Dye 1978	India	Oryza sativa	1960	No	No			https://ncppb.fera.co.uk/furtherinfo/793	3
NCPPB 795	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1894) Dye 1978, Xanthomonas axonopodis pv. vasculorum (Cobb 1894) Vauterin et al. 1995, Xanthomonas vasicola pv. vasculorum (Cobb 1894) Vauterin et al. 1995 (Invalid name)	Malagasy Republic	Saccharum officinarum	1960	No	No	Fatty acid Type C (Dookun, Stead & Autrey 2000)		https://ncppb.fera.co.uk/furtherinfo/795	3
NCPPB 840	Xanthomonas axonopodis pv. patelii (Desai & Shah 1959) Vauterin et al. 1995	Xanthomonas patelii Desai & Shah 1959	Xanthomonas campestris pv. patelii (Desai & Shah 1959) Dye 1978	India	Crotalaria juncea	1960	No	Yes			https://ncppb.fera.co.uk/furtherinfo/840	3
NCPPB 875	Xanthomonas campestris pv. aberrans (Knosel 1961) Dye 1978	Xanthomonas campestris var. aberrans Knosel 1961		W. Germany	Brassica oleracea var. botrytis	1961	No	No			https://ncppb.fera.co.uk/furtherinfo/875	3
NCPPB 881	Xanthomonas hortorum pv. gardneri Morinière et al. (2020)	Pseudomonas gardneri Sutic 1957	Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978, Xanthomonas gardneri (ex uti? 1957) Jones et al. 2006	Yugoslavia (Serbia)	Solanum lycopersicum	1961	No	Yes			https://ncppb.fera.co.uk/furtherinfo/881	3
NCPPB 884	Xanthomonas axonopodis pv. patelii (Desai & Shah 1959) Vauterin et al. 1995	Xanthomonas patelii Desai & Shah 1959	Xanthomonas campestris pv. patelii (Desai & Shah 1959) Dye 1978	India	Crotalaria juncea	1961	No	No			https://ncppb.fera.co.uk/furtherinfo/884	3
NCPPB 885	Xanthomonas axonopodis pv. desmodiirotundifolii (Desai & Shah 1960) Vauterin et al. 1995	Xanthomonas desmodiirotundifolii Desai & Shah 1960	Xanthomonas camp. pv. desmodiirotundifolii (Desai & Shah 1960) Dye 1978	India	Desmodium rotundifolium	1961	No	Yes			https://ncppb.fera.co.uk/furtherinfo/885	3
NCPPB 887	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans		Mauritius	Saccharum officinarum	1961	No	No			https://ncppb.fera.co.uk/furtherinfo/887	3
NCPPB 888	Xanthomonas sp. Dowson 1939		Xanthomonas campestris	South Africa	Saccharum officinarum	1961	No	No	Causes 'red stripe' symptoms. Pathovar unspecified.Fatty acid profile typical of xanthomonas.= X.c.vasculorum E	Hayward, A.C. 1962. Occ. pap. Maurit. Sug. Res. Inst. No 13 (1962)	https://ncppb.fera.co.uk/furtherinfo/888	3
NCPPB 889	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1894) Dye 1978, Xanthomonas axonopodis pv. vasculorum (Cobb 1894) Vauterin et al. 1995, Xanthomonas vasicola pv. vasculorum (Cobb 1894) Vauterin et al. 1995 (Invalid name)	South Africa	Saccharum officinarum	1961	No	No	Fatty acid Type C (Dookun, Stead & Autrey 2000)		https://ncppb.fera.co.uk/furtherinfo/889	3
NCPPB 891	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Mauritius	Thysanolaena maxima	1961	No	No	Fatty acid Type A(Dookun, Stead & Autrey 2000)new pv.?		https://ncppb.fera.co.uk/furtherinfo/891	3
NCPPB 892	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Mauritius	Thysanolaena maxima	1961	No	No	Fatty acid Type A(Dookun, Stead & Autrey 2000)new pv.?		https://ncppb.fera.co.uk/furtherinfo/892	3
NCPPB 893	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Mauritius	Thysanoleana maxima.	1961	No	No	Fatty acid Type A(Dookun, Stead & Autrey 2000)new pv.?		https://ncppb.fera.co.uk/furtherinfo/893	3
NCPPB 895	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1894) Dye 1978, Xanthomonas axonopodis pv. vasculorum (Cobb 1894) Vauterin et al. 1995, Xanthomonas vasicola pv. vasculorum (Cobb 1894) Vauterin et al. 1995 (Invalid name)	Malagasy Republic	Saccharum officinarum	1961	No	No	Fatty acid Type C (Dookun, Stead & Autrey 2000)		https://ncppb.fera.co.uk/furtherinfo/895	3
NCPPB 896	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans		Malagasy Republic	Saccharum officinarum	1961	No	No			https://ncppb.fera.co.uk/furtherinfo/896	3
NCPPB 897	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans		Malagasy Republic	Saccharum officinarum	1961	No	No			https://ncppb.fera.co.uk/furtherinfo/897	3
NCPPB 899	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Reunion	Saccharum officinarum	1961	No	No	Fatty acid Type D(Dookun, Stead & Autrey 2000)		https://ncppb.fera.co.uk/furtherinfo/899	3
NCPPB 900	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978	Reunion	Saccharum officinarum	1961	No	No	Fatty acid Type D(Dookun, Stead & Autrey 2000)		https://ncppb.fera.co.uk/furtherinfo/900	3
NCPPB 901	Xanthomonas sp. Dowson 1939	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	India	Gossypium sp	1961	No	No	The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used. The Fatty Acid Profile is typical of a Xanthomonas sp. (not X. a. malvacearum, NCPPB)	Hayward, A.C. 1964. J. Gen. Microbiol. 35: 287; Hunter, R.E., Brinkerhoff, L.A., Bird, L.S. 1968. P	https://ncppb.fera.co.uk/furtherinfo/901	3
